filename,width,height,class,x1,y1,x2,y2
16285.jpg,202,199,1,395,172,597,371
16670.jpg,185,179,1,405,203,590,382
13295.jpg,225,214,1,3,146,228,360
14616.jpg,285,305,1,3,286,288,591
11186.jpg,295,312,1,93,9,388,321
13739.jpg,296,242,1,76,238,372,480
14903.jpg,257,255,1,33,330,290,585
15113.jpg,224,220,1,416,212,640,432
15419.jpg,201,217,1,287,43,488,260
60.jpg,800,591,1,0,9,800,600
9341.jpg,413,316,1,28,18,441,334
15875.jpg,159,149,1,263,3,422,152
13732.jpg,210,83,1,26,17,236,100
4323.jpg,110,106,1,20,113,130,219
4958.jpg,255,206,1,245,155,500,361
14723.jpg,132,130,1,14,109,146,239
15806.jpg,249,217,1,316,0,565,217
10910.jpg,79,151,1,0,0,79,151
15083.jpg,265,241,1,0,127,265,368
74.jpg,632,532,1,78,61,710,593
69.jpg,423,303,1,8,12,431,315
16680.jpg,212,195,1,10,222,222,417
67.jpg,640,480,1,0,0,640,480
15098.jpg,198,129,1,12,15,210,144
15454.jpg,187,159,1,99,321,286,480
9104.jpg,360,379,1,0,75,360,454
15583.jpg,268,267,1,207,60,475,327
75.jpg,704,600,1,96,0,800,600
10617.jpg,91,242,1,0,4,91,246
12171.jpg,354,348,1,16,243,370,591
14368.jpg,356,337,1,0,181,356,518
11962.jpg,99,133,1,0,79,99,212
4605.jpg,169,173,1,253,165,422,338
14364.jpg,223,222,1,318,36,541,258
14814.jpg,258,182,1,40,116,298,298
13754.jpg,210,194,1,10,166,220,360
13893.jpg,102,104,1,218,80,320,184
5180.jpg,101,164,1,0,122,101,286
62.jpg,372,223,1,0,77,372,300
14355.jpg,277,287,1,523,93,800,380
15389.jpg,282,252,1,0,75,282,327
9091.jpg,351,261,1,66,42,417,303
15850.jpg,245,253,1,338,197,583,450
14806.jpg,180,131,1,60,189,240,320
11200.jpg,160,148,1,9,192,169,340
13264.jpg,181,113,1,59,126,240,239
9352.jpg,324,324,1,72,9,396,333
15741.jpg,241,203,1,265,157,506,360
2.jpg,562,351,1,20,208,582,559
14829.jpg,150,113,1,20,0,170,113
6974.jpg,220,247,1,0,171,220,418
11608.jpg,200,196,1,280,129,480,325
13838.jpg,221,215,1,300,25,521,240
63.jpg,334,358,1,0,135,334,493
16590.jpg,235,200,1,11,217,246,417
11292.jpg,222,229,1,64,0,286,229
10633.jpg,358,474,1,0,6,358,480
11136.jpg,417,333,1,24,15,441,348
12.jpg,575,417,1,94,150,669,567
14044.jpg,140,105,1,660,490,800,595
15694.jpg,280,263,1,0,95,280,358
5075.jpg,337,237,1,163,135,500,372
12084.jpg,296,335,1,0,248,296,583
14291.jpg,255,252,1,425,216,680,468
16237.jpg,420,197,1,113,252,533,449
14867.jpg,248,238,1,0,144,248,382
13702.jpg,194,172,1,12,167,206,339
5.jpg,753,557,1,8,28,761,585
14080.jpg,235,207,1,51,353,286,560
15735.jpg,304,272,1,192,176,496,448
12098.jpg,203,108,1,590,0,793,108
15655.jpg,201,195,1,70,63,271,258
15366.jpg,151,230,1,0,340,151,570
13724.jpg,208,134,1,12,55,220,189
14039.jpg,206,240,1,0,261,206,501
14877.jpg,294,272,1,1,284,295,556
14603.jpg,240,242,1,285,303,525,545
11194.jpg,342,322,1,49,0,391,322
15148.jpg,276,185,1,27,46,303,231
7077.jpg,255,220,1,43,151,298,371
15792.jpg,211,229,1,0,49,211,278
13704.jpg,198,180,1,14,55,212,235
